file,width,height,duration
00_01_52_to_00_01_58.mp4,1920,1080,5
00_02_45_to_00_03_10_cut.mpg,1920,1080,7
00_06_10_to_00_06_27.mp4,1920,1080,16
00_09_30_to_00_10_09.mp4,1920,1080,38
00_10_09_to_00_10_40.mp4,1920,1080,30
2019_08_19_C0001_5319_phantom.mp4,3840,2160,118
2019_08_19_GOPR5869_1530_phantom.mp4,1920,1080,40
2019_08_19_GP015869_1520_inspire.mp4,1920,1080,35
2019_09_02_C0002_2527_inspire.mp4,3840,2160,20
2019_09_02_C0002_3700_mavic.mp4,3840,2160,37
2019_09_02_GOPR5871_1058_solo.mp4,1920,1080,29
2019_10_16_C0003_1700_matrice.mp4,3840,2160,63
2019_10_16_C0003_3633_inspire.MP4,3840,2160,56
2019_10_16_C0003_4613_mavic.mp4,3840,2160,17
2019_10_16_C0003_5043_mavic.mp4,3840,2160,17
2019_11_14_C0001_3922_matrice.mp4,3840,2160,104
custom_fixed_wing_1.avi,720,576,30
custom_fixed_wing_2.avi,720,576,36
distant_parrot_2.avi,1920,1080,60
distant_parrot_with_birds.avi,1920,1080,60
dji_matrice_210_hillside.avi,1920,1080,60
dji_matrice_210_mountain.avi,1920,1080,60
dji_matrice_210_off_focus.avi,1920,1080,61
dji_matrice_210_sky.avi,1920,1080,60
dji_mavick_close_buildings.avi,1920,1080,60
dji_mavick_distant_hillside.avi,1920,1080,60
dji_mavick_hillside_off_focus.avi,1920,1080,83
dji_mavick_mountain.avi,1920,1080,59
dji_mavick_mountain_cruise.avi,1920,1080,61
dji_pantom_landing_custom_fixed_takeoff.avi,720,576,54
dji_phantom_4_hillside_cross.avi,1920,1080,110
dji_phantom_4_long_takeoff.avi,1920,1080,60
dji_phantom_4_mountain_hover.avi,1920,1080,60
dji_phantom_4_swarm_noon.avi,720,576,60
dji_phantom_mountain_cross.avi,1920,1080,155
fixed_wing_over_hill_1.avi,1920,1080,10
fixed_wing_over_hill_2.avi,1920,1080,15
GOPR5842_002.mp4,1920,1080,20
GOPR5842_005.mp4,1920,1080,17
GOPR5842_007.mp4,1920,1080,17
GOPR5843_002.mp4,1920,1080,14
GOPR5843_005.mp4,1920,1080,19
GOPR5844_002.mp4,1920,1080,16
GOPR5844_004.mp4,1920,1080,13
GOPR5845_001.mp4,1920,1080,20
GOPR5845_004.mp4,1920,1080,13
GOPR5846_002.mp4,1920,1080,22
GOPR5846_005.mp4,1920,1080,15
GOPR5847_003.mp4,1920,1080,16
GOPR5847_004.mp4,1920,1080,24
GOPR5848_002.mp4,1920,1080,17
GOPR5848_004.mp4,1920,1080,23
gopro_000.mp4,1920,1080,19
gopro_001.mp4,1920,1080,19
gopro_002.mp4,1920,1080,10
gopro_003.mp4,1920,1080,18
gopro_004.mp4,1920,1080,25
gopro_005.mp4,1920,1080,27
gopro_006.mp4,1920,1080,45
gopro_007.mp4,1920,1080,116
gopro_008.mp4,1920,1080,33
matrice_600_2.avi,720,576,60
matrice_600_3.avi,720,576,60
off_focus_parrot_birds.avi,1920,1080,61
parot_disco_takeoff.avi,1920,1080,60
parrot_clear_birds.avi,1920,1080,60
parrot_clear_birds_med_range.avi,1920,1080,60
parrot_disco_distant_cross.avi,720,576,60
parrot_disco_distant_cross_3.avi,720,576,60
parrot_disco_long_session.mp4,1920,1080,329
parrot_disco_midrange_cross.avi,720,576,60
parrot_disco_zoomin_zoomout.avi,1920,1080,60
swarm_dji_phantom.avi,720,576,78
swarm_dji_phantom4_2.avi,720,576,60
two_distant_phantom.avi,1280,720,59
two_parrot_disco_1.avi,720,576,70
two_uavs_plus_airplane.avi,1920,1080,60
