file_name,empty_frames,total_frames,empty_ratio
00_01_52_to_00_01_58.txt,53,175,0.3028571428571429
00_02_45_to_00_03_10_cut.txt,1,400,0.0025
00_06_10_to_00_06_27.txt,272,499,0.5450901803607214
00_09_30_to_00_10_09.txt,80,1165,0.06866952789699571
00_10_09_to_00_10_40.txt,31,925,0.03351351351351351
2019_08_19_C0001_5319_phantom.txt,131,2951,0.04439173161640122
2019_08_19_GOPR5869_1530_phantom.txt,36,1000,0.036
2019_08_19_GP015869_1520_inspire.txt,0,876,0.0
2019_09_02_C0002_2527_inspire.txt,16,502,0.03187250996015936
2019_09_02_C0002_3700_mavic.txt,83,928,0.0894396551724138
2019_09_02_GOPR5871_1058_solo.txt,0,725,0.0
2019_10_16_C0003_1700_matrice.txt,278,1576,0.17639593908629442
2019_10_16_C0003_3633_inspire.txt,5,1426,0.0035063113604488078
2019_10_16_C0003_4613_mavic.txt,0,426,0.0
2019_10_16_C0003_5043_mavic.txt,0,426,0.0
2019_11_14_C0001_3922_matrice.txt,77,2601,0.02960399846212995
custom_fixed_wing_1.txt,106,1537,0.06896551724137931
custom_fixed_wing_2.txt,192,1801,0.10660744031093837
distant_parrot_2.txt,3,841,0.0035671819262782403
distant_parrot_with_birds.txt,193,841,0.2294887039239001
dji_matrice_210_hillside.txt,0,1501,0.0
dji_matrice_210_mountain.txt,76,1496,0.05080213903743316
dji_matrice_210_off_focus.txt,310,1526,0.20314547837483618
dji_matrice_210_sky.txt,183,1501,0.12191872085276483
dji_mavick_close_buildings.txt,0,1501,0.0
dji_mavick_distant_hillside.txt,0,1501,0.0
dji_mavick_hillside_off_focus.txt,647,2075,0.31180722891566265
dji_mavick_mountain.txt,40,1475,0.02711864406779661
dji_mavick_mountain_cruise.txt,151,1526,0.09895150720838794
dji_pantom_landing_custom_fixed_takeoff.txt,128,2741,0.04669828529733674
dji_phantom_4_hillside_cross.txt,476,2750,0.1730909090909091
dji_phantom_4_long_takeoff.txt,1103,1500,0.7353333333333333
dji_phantom_4_mountain_hover.txt,1,1500,0.0006666666666666666
dji_phantom_4_swarm_noon.txt,210,3001,0.06997667444185271
dji_phantom_mountain_cross.txt,245,3893,0.06293347033136398
fixed_wing_over_hill_1.txt,9,212,0.04245283018867924
fixed_wing_over_hill_2.txt,37,331,0.11178247734138973
GOPR5842_002.txt,14,612,0.02287581699346405
GOPR5842_005.txt,34,526,0.06463878326996197
GOPR5842_007.txt,31,511,0.060665362035225046
GOPR5843_002.txt,31,424,0.07311320754716981
GOPR5843_005.txt,47,571,0.08231173380035026
GOPR5844_002.txt,51,497,0.10261569416498995
GOPR5844_004.txt,13,417,0.03117505995203837
GOPR5845_001.txt,61,601,0.10149750415973377
GOPR5845_004.txt,39,391,0.09974424552429667
GOPR5846_002.txt,57,686,0.08309037900874636
GOPR5846_005.txt,71,450,0.15777777777777777
GOPR5847_003.txt,40,496,0.08064516129032258
GOPR5847_004.txt,23,721,0.0319001386962552
GOPR5848_002.txt,10,511,0.019569471624266144
GOPR5848_004.txt,47,691,0.06801736613603473
gopro_000.txt,1,481,0.002079002079002079
gopro_001.txt,1,481,0.002079002079002079
gopro_002.txt,1,319,0.003134796238244514
gopro_003.txt,1,555,0.0018018018018018018
gopro_004.txt,77,751,0.10252996005326231
gopro_005.txt,1,811,0.0012330456226880395
gopro_006.txt,425,1351,0.3145817912657291
gopro_007.txt,1,3481,0.0002872737719046251
gopro_008.txt,1,991,0.0010090817356205853
matrice_600_2.txt,0,3001,0.0
matrice_600_3.txt,46,3001,0.015328223925358214
off_focus_parrot_birds.txt,256,854,0.2997658079625293
parot_disco_takeoff.txt,1,840,0.0011904761904761906
parrot_clear_birds.txt,81,841,0.09631391200951249
parrot_clear_birds_med_range.txt,22,841,0.026159334126040427
parrot_disco_distant_cross.txt,158,3001,0.052649116961012994
parrot_disco_distant_cross_3.txt,611,3001,0.20359880039986672
parrot_disco_long_session.txt,1013,4612,0.2196444058976583
parrot_disco_midrange_cross.txt,132,3001,0.04398533822059313
parrot_disco_zoomin_zoomout.txt,176,841,0.20927467300832342
swarm_dji_phantom.txt,0,3901,0.0
swarm_dji_phantom4_2.txt,91,3001,0.03032322559146951
two_distant_phantom.txt,38,1771,0.021456804065499716
two_parrot_disco_1.txt,195,3501,0.055698371893744644
two_uavs_plus_airplane.txt,15,1500,0.01
